gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
NCKAP1 | AMEX60DD023390,0.58542824,0.5387158,0.046712458,,,VLMC
R3HDM4 | AMEX60DD013619,0.34691462,0.30028173,0.046632886,,,VLMC
XPR1 | AMEX60DD018661,0.4419932,0.39540178,0.04659143,,,VLMC
INPP5D | AMEX60DD002626,0.41842762,0.37185088,0.04657674,,,VLMC
XB22063241[PROVISIONAL:LY6A2][nr] | AMEX60DD010631,0.3372496,0.29082036,0.046429247,,,VLMC
SFPQ | AMEX60DD005959,1.401335,1.3551469,0.046188116,,,VLMC
ELAVL1 | AMEX60DD014644,0.37994272,0.33379894,0.04614377,,,VLMC
AP2B1 | AMEX60DD054390,0.33119544,0.2852988,0.04589665,,,VLMC
TRIM9 | AMEX60DD011833,0.3715563,0.32577562,0.04578069,,,VLMC
SNCA | AMEX60DD044083,1.5170751,1.4713247,0.04575038,,,VLMC
PARPI_0018606[nr] | AMEX60DD005140,1.0719085,1.0261647,0.045743823,,,VLMC
COP1 | AMEX60DD018236,0.6491692,0.60344505,0.045724154,,,VLMC
